"[all run data]","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen"
,"14","57748","48.210959709832366","14","63715","47.858053132045875","14","58522","48.377610038231545","14","20647","46.005293598666796","14","20332","46.26997353200667","14","57541","48.22076267032644","14","57190","48.25997451230272","14","44929","47.622782080188216","14","82435","51.15184785805313","14","62422","48.61288109008921"
,"15","63877","48.53445740613665","15","69841","48.063915302421336","15","64681","48.74031957651211","15","26857","46.2895794529948","15","26401","46.55425938633467","15","63631","48.50504852465445","15","63568","48.54426036663072","15","51280","47.877659053034016","15","88954","51.445936672875206","15","68596","48.81874326046466"
,"16","69682","48.877561023429074","16","76258","48.31879227526713","16","70930","49.1226350357808","16","33331","46.53465346534653","16","32572","46.84834820115675","16","70018","48.82854622095872","16","69874","48.799137339476516","16","57754","48.11293010489168","16","95332","51.90667581609646","16","74869","49.15204391726301"
,"17","75724","49.142240956768944","17","82711","48.57366924811293","17","77182","49.563768258013916","17","39559","46.92677188510931","17","39052","47.083619253014405","17","76375","49.07362023331046","17","76252","49.1226350357808","17","64027","48.40701891971375","17","101683","52.35761199882364","17","80965","49.44613273208509"
,"18","82264","49.42652681109695","18","89035","48.8383491814528","18","83794","49.96568963827076","18","45679","47.24046662091952","18","45109","47.40711694931869","18","82732","49.29908832467406","18","82750","49.397117929614744","18","70645","48.730516616018036","18","107791","52.720321537104205","18","87160","49.65199490246054"
,"19","88696","49.563768258013916","19","95461","49.083423193804535","19","89803","50.16174884815214","19","52030","47.68159984315263","19","51718","47.65219096167043","19","89263","49.53435937653171","19","89143","49.63238898147241","19","77170","49.063817272816394","19","114025","52.965395549455934","19","93385","49.906871875306344"
,"20","95095","49.750024507401235","20","101596","49.40692089010881","20","96295","50.47544358396235","20","58318","48.11293010489168","20","58117","47.93647681599843","20","95767","49.72061562591903","20","95638","49.818645230859715","20","83491","49.36770904813253","20","120607","53.12224291736104","20","99553","50.30879325556318"
,"21","101458","50.073522203705515","21","107653","49.69120674443682","21","102364","50.779335359278505","21","64486","48.34820115674934","21","64618","48.191353788844225","21","102343","49.82844819135379","21","102457","50.15194588765807","21","89647","49.58337417900206","21","126973","53.40652877168905","21","105745","50.69110871483188"
,"22","107926","50.348005097539456","22","114355","49.92647779629448","22","108751","51.07342417410058","22","70846","48.75992549750025","22","70831","48.475639643172244","22","108766","49.985295559258894","22","108880","50.436231741986084","22","95980","49.916674835800414","22","133153","53.86726791491031","22","112273","50.95578864817175"
,"23","114079","50.70091167532595","23","120508","50.348005097539456","23","115408","51.269483383981964","23","77242","49.07362023331046","23","77359","48.72071365552397","23","115036","50.1127340456818","23","115624","50.759729438290364","23","102535","50.259778453092835","23","139627","54.18096265072052","23","118780","51.21066562101755"
